,latBin,lonBin,updated_type,updated_subtype,counts
9313,41.96,-87.75,Road_closed,Event,14837
6424,41.88,-87.65,Road_closed,Event,9898
4821,41.83,-87.64,Road_closed,Event,5060
6723,41.89,-87.66,Jam,Heavy traffic,4991
753,41.69,-87.60000000000001,Road_closed,Event,4961
1076,41.71,-87.64,Road_closed,Event,4949
6725,41.89,-87.66,Jam,Stand still traffic,4673
6090,41.87,-87.65,Jam,Heavy traffic,4121
6092,41.87,-87.65,Jam,Stand still traffic,3987
7074,41.9,-87.67,Jam,Heavy traffic,3845
6421,41.88,-87.65,Jam,Stand still traffic,3720
4810,41.83,-87.64,Hazard,On shoulder car stopped,3607
6718,41.89,-87.66,Hazard,On shoulder car stopped,3565
6083,41.87,-87.65,Hazard,On shoulder car stopped,3496
9308,41.96,-87.75,Jam,Heavy traffic,3360
6419,41.88,-87.65,Jam,Heavy traffic,3267
8535,41.94,-87.72,Jam,Heavy traffic,3177
9283,41.96,-87.76,Jam,Heavy traffic,3013
100,41.65,-87.59,Hazard,On shoulder car stopped,2992
3888,41.800000000000004,-87.64,Hazard,On shoulder car stopped,2934
5093,41.84,-87.64,Hazard,On shoulder car stopped,2922
9747,41.97,-87.77,Jam,Heavy traffic,2900
9285,41.96,-87.76,Jam,Stand still traffic,2855
9303,41.96,-87.75,Hazard,On shoulder car stopped,2849
4519,41.82,-87.64,Hazard,On shoulder car stopped,2795
3152,41.78,-87.64,Hazard,On shoulder car stopped,2786
8150,41.93,-87.71000000000001,Jam,Heavy traffic,2732
5668,41.86,-87.65,Hazard,On shoulder car stopped,2635
7433,41.910000000000004,-87.67,Jam,Heavy traffic,2612
7066,41.9,-87.67,Hazard,On shoulder car stopped,2603
9310,41.96,-87.75,Jam,Stand still traffic,2574
4347,41.82,-87.73,Hazard,On shoulder car stopped,2568
7761,41.92,-87.69,Jam,Heavy traffic,2548
8934,41.95,-87.74,Jam,Heavy traffic,2446
9725,41.97,-87.78,Jam,Heavy traffic,2425
9276,41.96,-87.76,Hazard,On shoulder car stopped,2406
3555,41.79,-87.64,Hazard,On shoulder car stopped,2397
10239,41.980000000000004,-87.79,Jam,Heavy traffic,2357
4371,41.82,-87.72,Hazard,On shoulder car stopped,2320
1554,41.730000000000004,-87.63,Hazard,On shoulder car stopped,2297
5891,41.87,-87.73,Hazard,On shoulder car stopped,2274
9749,41.97,-87.77,Jam,Stand still traffic,2262
7076,41.9,-87.67,Jam,Stand still traffic,2236
5364,41.85,-87.65,Jam,Heavy traffic,2222
1295,41.72,-87.63,Hazard,On shoulder car stopped,2181
8537,41.94,-87.72,Jam,Stand still traffic,2178
8936,41.95,-87.74,Jam,Stand still traffic,2178
6749,41.89,-87.65,Jam,Stand still traffic,2167
4205,41.81,-87.64,Hazard,On shoulder car stopped,2158
1132,41.71,-87.61,Hazard,On shoulder car stopped,2103
218,41.660000000000004,-87.60000000000001,Hazard,On shoulder car stopped,2091
744,41.69,-87.60000000000001,Hazard,On shoulder car stopped,2088
6008,41.87,-87.68,Hazard,On shoulder car stopped,2080
8169,41.93,-87.7,Hazard,On shoulder car stopped,2063
2118,41.75,-87.63,Hazard,On shoulder car stopped,2014
6034,41.87,-87.67,Hazard,On shoulder car stopped,2013
8175,41.93,-87.7,Jam,Heavy traffic,2007
8143,41.93,-87.71000000000001,Hazard,On shoulder car stopped,1979
5842,41.87,-87.75,Hazard,On shoulder car stopped,1958
5043,41.84,-87.66,Hazard,On shoulder car stopped,1955
9727,41.97,-87.78,Jam,Stand still traffic,1918
9788,41.97,-87.75,Hazard,On shoulder car stopped,1911
5818,41.87,-87.76,Hazard,On shoulder car stopped,1904
5986,41.87,-87.69,Hazard,On shoulder car stopped,1902
1091,41.71,-87.63,Hazard,On shoulder car stopped,1893
5916,41.87,-87.72,Hazard,On shoulder car stopped,1893
7435,41.910000000000004,-87.67,Jam,Stand still traffic,1866
5099,41.84,-87.64,Jam,Heavy traffic,1865
5867,41.87,-87.74,Hazard,On shoulder car stopped,1857
1845,41.74,-87.63,Hazard,On shoulder car stopped,1853
9719,41.97,-87.78,Hazard,On shoulder car stopped,1846
9794,41.97,-87.75,Jam,Heavy traffic,1816
7763,41.92,-87.69,Jam,Stand still traffic,1797
4031,41.81,-87.75,Hazard,On shoulder car stopped,1786
8529,41.94,-87.72,Hazard,On shoulder car stopped,1776
2396,41.76,-87.63,Hazard,On shoulder car stopped,1761
2806,41.77,-87.63,Hazard,On shoulder car stopped,1738
10241,41.980000000000004,-87.79,Jam,Stand still traffic,1726
5118,41.84,-87.63,Hazard,On shoulder car stopped,1718
9796,41.97,-87.75,Jam,Stand still traffic,1715
6816,41.89,-87.62,Jam,Stand still traffic,1702
5673,41.86,-87.65,Jam,Heavy traffic,1697
8152,41.93,-87.71000000000001,Jam,Stand still traffic,1688
7426,41.910000000000004,-87.67,Hazard,On shoulder car stopped,1670
7785,41.92,-87.68,Jam,Heavy traffic,1641
6412,41.88,-87.65,Hazard,On shoulder car stopped,1627
5940,41.87,-87.71000000000001,Hazard,On shoulder car stopped,1622
8928,41.95,-87.74,Hazard,On shoulder car stopped,1614
919,41.7,-87.60000000000001,Hazard,On shoulder car stopped,1607
5794,41.87,-87.77,Hazard,On shoulder car stopped,1606
8959,41.95,-87.73,Jam,Heavy traffic,1588
1112,41.71,-87.62,Hazard,On shoulder car stopped,1587
5358,41.85,-87.65,Hazard,On shoulder car stopped,1576
10485,41.980000000000004,-87.66,Jam,Stand still traffic,1573
5769,41.87,-87.78,Hazard,On shoulder car stopped,1564
7755,41.92,-87.69,Hazard,On shoulder car stopped,1563
4816,41.83,-87.64,Jam,Heavy traffic,1534
525,41.68,-87.61,Hazard,On shoulder car stopped,1534
10170,41.980000000000004,-87.82000000000001,Jam,Heavy traffic,1530
4727,41.83,-87.68,Hazard,On shoulder car stopped,1528
8177,41.93,-87.7,Jam,Stand still traffic,1514
5801,41.87,-87.77,Jam,Stand still traffic,1514
5366,41.85,-87.65,Jam,Stand still traffic,1487
5964,41.87,-87.7,Hazard,On shoulder car stopped,1445
10213,41.980000000000004,-87.8,Hazard,On shoulder car stopped,1420
10234,41.980000000000004,-87.79,Hazard,On shoulder car stopped,1420
5675,41.86,-87.65,Jam,Stand still traffic,1403
5101,41.84,-87.64,Jam,Stand still traffic,1399
5427,41.85,-87.62,Hazard,On shoulder car stopped,1375
8961,41.95,-87.73,Jam,Stand still traffic,1369
5799,41.87,-87.77,Jam,Heavy traffic,1368
10218,41.980000000000004,-87.8,Jam,Heavy traffic,1363
4680,41.83,-87.7,Hazard,On shoulder car stopped,1355
6747,41.89,-87.65,Jam,Heavy traffic,1336
10483,41.980000000000004,-87.66,Jam,Heavy traffic,1324
8511,41.94,-87.73,Jam,Heavy traffic,1319
6059,41.87,-87.66,Hazard,On shoulder car stopped,1298
5074,41.84,-87.65,Jam,Heavy traffic,1279
5067,41.84,-87.65,Hazard,On shoulder car stopped,1274
6490,41.88,-87.62,Jam,Stand still traffic,1264
7149,41.9,-87.63,Hazard,On shoulder car stopped,1258
6814,41.89,-87.62,Jam,Heavy traffic,1249
334,41.67,-87.61,Hazard,On shoulder car stopped,1240
6159,41.87,-87.62,Jam,Stand still traffic,1227
10120,41.980000000000004,-87.84,Hazard,On shoulder car stopped,1216
7407,41.910000000000004,-87.68,Jam,Heavy traffic,1208
8507,41.94,-87.73,Hazard,On shoulder car stopped,1200
8954,41.95,-87.73,Hazard,On shoulder car stopped,1194
4703,41.83,-87.69,Hazard,On shoulder car stopped,1188
4394,41.82,-87.71000000000001,Hazard,On shoulder car stopped,1180
5737,41.86,-87.62,Jam,Stand still traffic,1177
10459,41.980000000000004,-87.67,Jam,Stand still traffic,1177
7456,41.910000000000004,-87.66,Jam,Stand still traffic,1172
4037,41.81,-87.75,Jam,Heavy traffic,1164
5142,41.84,-87.62,Hazard,On shoulder car stopped,1134
9740,41.97,-87.77,Hazard,On shoulder car stopped,1127
6726,41.89,-87.66,Jam,Unclassified,1126
10190,41.980000000000004,-87.81,Hazard,On shoulder car stopped,1124
7096,41.9,-87.66,Jam,Stand still traffic,1105
7787,41.92,-87.68,Jam,Stand still traffic,1066
4525,41.82,-87.64,Jam,Heavy traffic,1065
6426,41.88,-87.65,Road_closed,Unclassified,1057
10143,41.980000000000004,-87.83,Hazard,On shoulder car stopped,1044
7157,41.9,-87.63,Jam,Stand still traffic,1035
8293,41.93,-87.64,Hazard,On shoulder car stopped,1017
3894,41.800000000000004,-87.64,Jam,Heavy traffic,1010
10323,41.980000000000004,-87.75,Jam,Stand still traffic,1009
8513,41.94,-87.73,Jam,Stand still traffic,1008
4053,41.81,-87.74,Hazard,On shoulder car stopped,1006
5826,41.87,-87.76,Jam,Stand still traffic,977
6040,41.87,-87.67,Jam,Heavy traffic,977
7779,41.92,-87.68,Hazard,On shoulder car stopped,960
4733,41.83,-87.68,Jam,Heavy traffic,959
6483,41.88,-87.62,Hazard,On shoulder car stopped,956
10195,41.980000000000004,-87.81,Jam,Heavy traffic,936
6157,41.87,-87.62,Jam,Heavy traffic,930
5076,41.84,-87.65,Jam,Stand still traffic,928
10457,41.980000000000004,-87.67,Jam,Heavy traffic,927
5048,41.84,-87.66,Jam,Heavy traffic,925
7155,41.9,-87.63,Jam,Heavy traffic,922
6422,41.88,-87.65,Jam,Unclassified,913
7077,41.9,-87.67,Jam,Unclassified,910
4818,41.83,-87.64,Jam,Stand still traffic,905
4325,41.82,-87.74,Hazard,On shoulder car stopped,905
7737,41.92,-87.7,Jam,Heavy traffic,895
7809,41.92,-87.67,Jam,Stand still traffic,893
4352,41.82,-87.73,Jam,Heavy traffic,893
4039,41.81,-87.75,Jam,Stand still traffic,889
5824,41.87,-87.76,Jam,Heavy traffic,888
6042,41.87,-87.67,Jam,Stand still traffic,878
1150,41.71,-87.60000000000001,Hazard,On shoulder car stopped,878
5124,41.84,-87.63,Jam,Heavy traffic,875
7714,41.92,-87.71000000000001,Jam,Heavy traffic,874
4868,41.83,-87.61,Hazard,On shoulder car stopped,871
10321,41.980000000000004,-87.75,Jam,Heavy traffic,869
5872,41.87,-87.74,Jam,Heavy traffic,867
10165,41.980000000000004,-87.82000000000001,Hazard,On shoulder car stopped,863
6093,41.87,-87.65,Jam,Unclassified,861
6443,41.88,-87.64,Jam,Stand still traffic,858
10172,41.980000000000004,-87.82000000000001,Jam,Stand still traffic,856
1096,41.71,-87.63,Jam,Heavy traffic,855
5874,41.87,-87.74,Jam,Stand still traffic,848
7807,41.92,-87.67,Jam,Heavy traffic,844
8911,41.95,-87.75,Jam,Heavy traffic,839
4752,41.83,-87.67,Hazard,On shoulder car stopped,826
2402,41.76,-87.63,Jam,Heavy traffic,825
4011,41.81,-87.76,Hazard,On shoulder car stopped,819
10220,41.980000000000004,-87.8,Jam,Stand still traffic,815
10148,41.980000000000004,-87.83,Jam,Heavy traffic,813
6467,41.88,-87.63,Jam,Stand still traffic,807
8129,41.93,-87.72,Jam,Stand still traffic,799
9121,41.95,-87.65,Jam,Stand still traffic,799
7409,41.910000000000004,-87.68,Jam,Stand still traffic,798
1301,41.72,-87.63,Jam,Heavy traffic,791
10648,41.99,-87.77,Jam,Stand still traffic,786
5735,41.86,-87.62,Jam,Heavy traffic,784
8554,41.94,-87.71000000000001,Jam,Heavy traffic,781
10290,41.980000000000004,-87.76,Hazard,On shoulder car stopped,780
10315,41.980000000000004,-87.75,Hazard,On shoulder car stopped,780
9772,41.97,-87.76,Jam,Stand still traffic,780
4758,41.83,-87.67,Jam,Heavy traffic,775
6793,41.89,-87.63,Jam,Stand still traffic,770
6488,41.88,-87.62,Jam,Heavy traffic,770
1559,41.730000000000004,-87.63,Jam,Heavy traffic,769
4686,41.83,-87.7,Jam,Heavy traffic,768
5848,41.87,-87.75,Jam,Heavy traffic,765
1850,41.74,-87.63,Jam,Heavy traffic,762
6137,41.87,-87.63,Jam,Stand still traffic,748
3560,41.79,-87.64,Jam,Heavy traffic,746
4708,41.83,-87.69,Jam,Heavy traffic,745
10831,41.99,-87.68,Jam,Heavy traffic,745
6064,41.87,-87.66,Jam,Heavy traffic,735
9311,41.96,-87.75,Jam,Unclassified,730
4688,41.83,-87.7,Jam,Stand still traffic,727
6771,41.89,-87.64,Jam,Stand still traffic,726
4210,41.81,-87.64,Jam,Heavy traffic,725
7454,41.910000000000004,-87.66,Jam,Heavy traffic,721
7511,41.910000000000004,-87.63,Hazard,On shoulder car stopped,719
4224,41.81,-87.63,Hazard,On shoulder car stopped,717
749,41.69,-87.60000000000001,Jam,Heavy traffic,712
4269,41.81,-87.60000000000001,Hazard,On shoulder car stopped,707
6066,41.87,-87.66,Jam,Stand still traffic,695
5850,41.87,-87.75,Jam,Stand still traffic,694
6769,41.89,-87.64,Jam,Heavy traffic,694
4527,41.82,-87.64,Jam,Stand still traffic,692
8127,41.93,-87.72,Jam,Heavy traffic,689
7436,41.910000000000004,-87.67,Jam,Unclassified,687
2125,41.75,-87.63,Jam,Heavy traffic,686
6026,41.87,-87.67,Hazard,On road construction,684
3158,41.78,-87.64,Jam,Heavy traffic,683
9770,41.97,-87.76,Jam,Heavy traffic,683
356,41.67,-87.60000000000001,Hazard,On shoulder car stopped,680
8538,41.94,-87.72,Jam,Unclassified,679
8220,41.93,-87.68,Jam,Stand still traffic,678
6015,41.87,-87.68,Jam,Heavy traffic,677
5897,41.87,-87.73,Jam,Heavy traffic,676
9119,41.95,-87.65,Jam,Heavy traffic,670
7402,41.910000000000004,-87.68,Hazard,On shoulder car stopped,654
8218,41.93,-87.68,Jam,Heavy traffic,642
7764,41.92,-87.69,Jam,Unclassified,637
2813,41.77,-87.63,Jam,Heavy traffic,637
8556,41.94,-87.71000000000001,Jam,Stand still traffic,636
3896,41.800000000000004,-87.64,Jam,Stand still traffic,632
10297,41.980000000000004,-87.76,Jam,Heavy traffic,626
10242,41.980000000000004,-87.79,Jam,Unclassified,626
10477,41.980000000000004,-87.66,Hazard,On shoulder car stopped,626
5126,41.84,-87.63,Jam,Stand still traffic,621
1169,41.71,-87.59,Hazard,On shoulder car stopped,617
5922,41.87,-87.72,Jam,Heavy traffic,617
7739,41.92,-87.7,Jam,Stand still traffic,615
9286,41.96,-87.76,Jam,Unclassified,614
3562,41.79,-87.64,Jam,Stand still traffic,607
4735,41.83,-87.68,Jam,Stand still traffic,607
925,41.7,-87.60000000000001,Jam,Heavy traffic,604
7872,41.92,-87.64,Jam,Heavy traffic,603
8298,41.93,-87.64,Jam,Heavy traffic,600
10299,41.980000000000004,-87.76,Jam,Stand still traffic,600
6114,41.87,-87.64,Jam,Stand still traffic,597
4377,41.82,-87.72,Jam,Heavy traffic,596
6404,41.88,-87.65,Hazard,On road construction,596
5990,41.87,-87.69,Jam,Heavy traffic,595
6017,41.87,-87.68,Jam,Stand still traffic,595
7516,41.910000000000004,-87.63,Jam,Heavy traffic,593
9750,41.97,-87.77,Jam,Unclassified,593
5899,41.87,-87.73,Jam,Stand still traffic,591
4058,41.81,-87.74,Jam,Heavy traffic,588
8153,41.93,-87.71000000000001,Jam,Unclassified,587
5777,41.87,-87.78,Jam,Stand still traffic,586
10470,41.980000000000004,-87.66,Hazard,On road construction,584
10197,41.980000000000004,-87.81,Jam,Stand still traffic,584
9728,41.97,-87.78,Jam,Unclassified,580
9388,41.96,-87.71000000000001,Jam,Heavy traffic,577
6152,41.87,-87.62,Hazard,On shoulder car stopped,576
7100,41.9,-87.66,Road_closed,Unclassified,573
8913,41.95,-87.75,Jam,Stand still traffic,573
9267,41.96,-87.76,Hazard,On road construction,573
8675,41.94,-87.65,Jam,Stand still traffic,566
7094,41.9,-87.66,Jam,Heavy traffic,565
10126,41.980000000000004,-87.84,Jam,Heavy traffic,562
9858,41.97,-87.72,Jam,Heavy traffic,557
2785,41.77,-87.64,Hazard,On shoulder car stopped,557
8673,41.94,-87.65,Jam,Heavy traffic,551
5050,41.84,-87.66,Jam,Stand still traffic,551
5947,41.87,-87.71000000000001,Jam,Heavy traffic,549
6808,41.89,-87.62,Hazard,On shoulder car stopped,549
5775,41.87,-87.78,Jam,Heavy traffic,546
9014,41.95,-87.7,Jam,Heavy traffic,543
1647,41.730000000000004,-87.57000000000001,Hazard,On shoulder car stopped,542
1136,41.71,-87.61,Jam,Heavy traffic,542
8178,41.93,-87.7,Jam,Unclassified,540
5970,41.87,-87.7,Jam,Heavy traffic,538
7850,41.92,-87.65,Jam,Stand still traffic,538
9860,41.97,-87.72,Jam,Stand still traffic,536
7848,41.92,-87.65,Jam,Heavy traffic,533
10150,41.980000000000004,-87.83,Jam,Stand still traffic,532
4399,41.82,-87.71000000000001,Jam,Heavy traffic,527
5367,41.85,-87.65,Jam,Unclassified,527
8937,41.95,-87.74,Jam,Unclassified,526
4760,41.83,-87.67,Jam,Stand still traffic,521
9913,41.97,-87.69,Jam,Heavy traffic,521
10607,41.99,-87.79,Jam,Stand still traffic,518
10746,41.99,-87.72,Jam,Heavy traffic,516
5020,41.84,-87.67,Hazard,On shoulder car stopped,515
6402,41.88,-87.65,Hazard,On road,514
7874,41.92,-87.64,Jam,Stand still traffic,504
6791,41.89,-87.63,Jam,Heavy traffic,502
6708,41.89,-87.66,Accident,Unclassified,502
1303,41.72,-87.63,Jam,Stand still traffic,501
5924,41.87,-87.72,Jam,Stand still traffic,500
7732,41.92,-87.7,Hazard,On shoulder car stopped,498
10646,41.99,-87.77,Jam,Heavy traffic,498
4212,41.81,-87.64,Jam,Stand still traffic,497
5676,41.86,-87.65,Jam,Unclassified,497
3881,41.800000000000004,-87.64,Hazard,On road construction,495
6700,41.89,-87.67,Jam,Heavy traffic,494
5436,41.85,-87.62,Jam,Stand still traffic,494
8199,41.93,-87.69,Jam,Stand still traffic,493
10833,41.99,-87.68,Jam,Stand still traffic,493
7865,41.92,-87.64,Hazard,On shoulder car stopped,492
6464,41.88,-87.63,Jam,Heavy traffic,492
6441,41.88,-87.64,Jam,Heavy traffic,491
9885,41.97,-87.7,Hazard,On road construction,490
1155,41.71,-87.60000000000001,Jam,Heavy traffic,490
9797,41.97,-87.75,Jam,Unclassified,489
5102,41.84,-87.64,Jam,Unclassified,488
8237,41.93,-87.67,Jam,Heavy traffic,485
9073,41.95,-87.67,Jam,Heavy traffic,483
6112,41.87,-87.64,Jam,Heavy traffic,479
8197,41.93,-87.69,Jam,Heavy traffic,479
10788,41.99,-87.7,Jam,Heavy traffic,478
10767,41.99,-87.71000000000001,Jam,Heavy traffic,477
2404,41.76,-87.63,Jam,Stand still traffic,477
9295,41.96,-87.75,Hazard,On road construction,476
10605,41.99,-87.79,Jam,Heavy traffic,476
6073,41.87,-87.65,Hazard,On road,476
9428,41.96,-87.69,Jam,Heavy traffic,470
8656,41.94,-87.66,Road_closed,Unclassified,470
3160,41.78,-87.64,Jam,Stand still traffic,469
4819,41.83,-87.64,Jam,Unclassified,469
531,41.68,-87.61,Jam,Heavy traffic,469
5355,41.85,-87.65,Hazard,On road pot hole,464
7788,41.92,-87.68,Jam,Unclassified,463
4710,41.83,-87.69,Jam,Stand still traffic,462
241,41.660000000000004,-87.59,Hazard,On shoulder car stopped,462
6135,41.87,-87.63,Jam,Heavy traffic,461
10221,41.980000000000004,-87.8,Jam,Unclassified,460
8239,41.93,-87.67,Jam,Stand still traffic,458
